,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI,alexiiik NAVI
Boo TH,1 2 -1,0 4 -4,2 5 -3,1 3 -2,0 1 -1
Wo0t TH,2 6 -4,1 3 -2,4 3 +1,3 1 +2,1 1 +0
RieNs TH,1 4 -3,2 1 +1,0 3 -3,2 3 -1,3 4 -1
benjyfishy TH,2 3 -1,4 2 +2,1 5 -4,2 4 -2,3 2 +1
MiniBoo TH,2 3 -1,4 0 +4,0 4 -4,1 4 -3,2 5 -3
