,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI,alexiiik NAVI
Boo TH,,0 1 -1,,,
Wo0t TH,,,,,
RieNs TH,,,,,0 1 -1
benjyfishy TH,,,,,0 1 -1
MiniBoo TH,1 0 +1,2 0 +2,,1 0 +1,1 2 -1
