,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI,alexiiik NAVI
Boo TH,0 1 -1,,1 0 +1,1 0 +1,
Wo0t TH,3 3 +0,,1 1 +0,0 3 -3,
RieNs TH,,,,,1 1 +0
benjyfishy TH,,1 0 +1,1 0 +1,0 2 -2,3 0 +3
MiniBoo TH,0 2 -2,3 0 +3,1 0 +1,1 0 +1,2 4 -2
