,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,5 Round 2 MiniBoo Boo Round 3 benjyfishy Boo Round 10 RieNs benjyfishy Round 20 benjyfishy Boo Round 21 benjyfishy Boo,,,,,,,,,49,0,0
f0rsakeN PRX,,1 Round 21 RieNs MiniBoo,1 Round 17 MiniBoo Boo RieNs,2 Round 6 Boo Wo0t MiniBoo RieNs Round 11 MiniBoo Wo0t Boo RieNs,,,,,,,65,2,0
d4v41 PRX,,4 Round 2 RieNs benjyfishy Round 5 MiniBoo Wo0t Round 7 MiniBoo Wo0t Round 14 Boo Wo0t,,1 Round 15 Boo benjyfishy Wo0t MiniBoo,,,,,,,54,1,0
PatMen PRX,,2 Round 1 RieNs Wo0t Round 10 Boo MiniBoo,,1 Round 9 Wo0t benjyfishy MiniBoo Boo,,,,,,,47,3,0
something PRX,,4 Round 3 RieNs MiniBoo Round 5 Boo benjyfishy Round 12 RieNs Boo Round 16 MiniBoo Wo0t,,,,,,,,,37,0,1
Boo TH,,4 Round 7 f0rsakeN something Round 8 something d4v41 Round 15 Jinggg f0rsakeN Round 19 f0rsakeN d4v41,,,,1 Round 7 something,,,,,53,6,0
RieNs TH,,4 Round 12 f0rsakeN Jinggg Round 18 Jinggg PatMen Round 20 d4v41 something Round 22 Jinggg d4v41,,,,1 Round 20 something,,,,,48,0,2
MiniBoo TH,,4 Round 4 d4v41 f0rsakeN Round 14 PatMen something Round 18 d4v41 something Round 19 Jinggg something,1 Round 10 f0rsakeN something d4v41,,,,,,,,40,0,0
Wo0t TH,,3 Round 16 PatMen d4v41 Round 17 PatMen f0rsakeN Round 21 f0rsakeN Jinggg,1 Round 20 f0rsakeN Jinggg PatMen,1 Round 13 Jinggg f0rsakeN something PatMen,,2 Round 10 PatMen Round 21 Jinggg,,,,,62,0,2
benjyfishy TH,,2 Round 6 f0rsakeN PatMen Round 17 Jinggg d4v41,,,,1 Round 12 something,,,,,41,0,0
