,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH,MiniBoo TH
f0rsakeN PRX,4 6 -2,3 3 +0,4 4 +0,4 0 +4,3 4 -1
PatMen PRX,4 3 +1,3 5 -2,3 2 +1,1 3 -2,2 2 +0
d4v41 PRX,5 5 +0,3 5 -2,7 1 +6,2 1 +1,3 1 +2
Jinggg PRX,2 3 -1,3 1 +2,2 4 -2,2 3 -1,4 5 -1
something PRX,4 7 -3,5 5 +0,1 2 -1,7 2 +5,5 1 +4
