,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH,MiniBoo TH
f0rsakeN PRX,3 6 -3,6 1 +5,3 6 -3,0 2 -2,9 2 +7
PatMen PRX,5 6 -1,4 2 +2,3 1 +2,2 3 -1,2 3 -1
d4v41 PRX,4 3 +1,1 4 -3,4 3 +1,3 3 +0,3 3 +0
Jinggg PRX,2 6 -4,1 5 -4,5 1 +4,7 3 +4,1 1 +0
something PRX,2 4 -2,3 2 +1,2 2 +0,2 2 +0,3 4 -1
