,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH,MiniBoo TH
f0rsakeN PRX,11 14 -3,11 6 +5,8 14 -6,6 4 +2,17 6 +11
PatMen PRX,10 11 -1,12 11 +1,10 3 +7,6 7 -1,6 6 +0
d4v41 PRX,13 8 +5,6 13 -7,15 5 +10,8 6 +2,10 7 +3
Jinggg PRX,6 10 -4,7 9 -2,11 8 +3,10 9 +1,7 9 -2
something PRX,7 14 -7,10 8 +2,5 5 +0,14 7 +7,11 8 +3
