,SyouTa ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA
Wild0reoo TS,4 4 +0,6 3 +3,8 3 +5,3 4 -1,4 5 -1
Jremy TS,1 3 -2,2 2 +0,3 4 -1,6 2 +4,4 8 -4
invy TS,4 2 +2,6 4 +2,8 4 +4,6 1 +5,3 3 +0
2GE TS,1 3 -2,2 4 -2,1 5 -4,0 4 -4,1 2 -1
JessieVash TS,7 5 +2,2 2 +0,3 2 +1,2 2 +0,3 5 -2
