,SyouTa ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA
Wild0reoo TS,3 3 +0,5 6 -1,1 4 -3,1 3 -2,1 2 -1
Jremy TS,5 3 +2,2 3 -1,5 4 +1,2 4 -2,2 4 -2
invy TS,1 4 -3,3 3 +0,7 1 +6,3 6 -3,4 2 +2
2GE TS,2 2 +0,3 4 -1,5 2 +3,7 4 +3,2 6 -4
JessieVash TS,3 1 +2,4 6 -2,4 1 +3,2 3 -1,3 5 -2
