,SyouTa ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA
Wild0reoo TS,,2 0 +2,0 2 -2,,0 1 -1
Jremy TS,0 3 -3,0 1 -1,1 1 +0,1 1 +0,1 1 +0
invy TS,,,1 1 +0,,
2GE TS,,,0 3 -3,,
JessieVash TS,2 1 +1,1 0 +1,,,
