,kiNgg LEV,Okeanos LEV,C0M LEV,Sato LEV,tex LEV
Asuna 100T,,0 1 -1,,1 0 +1,0 1 -1
Cryocells 100T,1 0 +1,,1 0 +1,2 0 +2,1 0 +1
eeiu 100T,,2 0 +2,,1 0 +1,
zander 100T,1 0 +1,2 2 +0,0 2 -2,0 2 -2,1 0 +1
Kess 100T,,1 0 +1,,1 0 +1,
