,kiNgg LEV,Okeanos LEV,C0M LEV,Sato LEV,tex LEV
Asuna 100T,7 5 +2,7 8 -1,6 7 -1,7 18 -11,6 9 -3
Cryocells 100T,6 8 -2,12 10 +2,9 12 -3,12 10 +2,14 7 +7
eeiu 100T,8 7 +1,6 13 -7,7 7 +0,8 7 +1,3 11 -8
zander 100T,12 8 +4,5 6 -1,7 12 -5,9 16 -7,9 9 +0
Kess 100T,7 6 +1,9 8 +1,9 9 +0,7 12 -5,2 10 -8
