,kiNgg LEV,Okeanos LEV,C0M LEV,Sato LEV,tex LEV
Asuna 100T,3 2 +1,3 2 +1,2 3 -1,4 7 -3,3 3 +0
Cryocells 100T,3 3 +0,5 5 +0,1 6 -5,5 4 +1,6 2 +4
eeiu 100T,3 5 -2,1 4 -3,3 3 +0,3 3 +0,1 3 -2
zander 100T,4 4 +0,2 3 -1,3 4 -1,4 3 +1,3 5 -2
Kess 100T,2 1 +1,2 3 -1,6 5 +1,1 6 -5,0 2 -2
