,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,3 5 -2,3 1 +2,4 4 +0,3 0 +3,4 1 +3
Monyet RRQ,2 1 +1,5 2 +3,3 4 -1,7 4 +3,6 0 +6
Kushy RRQ,5 0 +5,2 1 +1,2 2 +0,2 2 +0,4 2 +2
xffero RRQ,4 3 +1,2 6 -4,4 3 +1,5 0 +5,1 2 -1
crazyguy RRQ,1 4 -3,2 3 -1,3 2 +1,1 2 -1,1 2 -1
