,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,,,1 0 +1,4 2 +2,
Monyet RRQ,,1 1 +0,1 2 -1,3 1 +2,1 3 -2
Kushy RRQ,,,1 0 +1,,
xffero RRQ,,,,1 0 +1,0 1 -1
crazyguy RRQ,,,,,1 0 +1
