,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,,2 2 +0,1 6 -5,9 2 +7,0 2 -2
Monyet RRQ,,2 1 +1,3 3 +0,3 1 +2,1 3 -2
Kushy RRQ,,,1 0 +1,1 2 -1,
xffero RRQ,1 1 +0,,1 2 -1,1 1 +0,0 2 -2
crazyguy RRQ,0 1 -1,,1 0 +1,1 3 -2,2 0 +2
