,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,2 5 -3,2 3 -1,3 1 +2,5 4 +1,4 3 +1
Monyet RRQ,5 2 +3,5 4 +1,3 5 -2,5 2 +3,6 3 +3
Kushy RRQ,2 2 +0,4 4 +0,2 2 +0,3 4 -1,1 2 -1
xffero RRQ,2 3 -1,4 2 +2,5 3 +2,3 2 +1,5 3 +2
crazyguy RRQ,3 2 +1,2 5 -3,3 3 +0,2 1 +1,2 3 -1
