,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,5 11 -6,9 6 +3,12 10 +2,11 7 +4,9 7 +2
Monyet RRQ,7 6 +1,14 8 +6,8 15 -7,13 6 +7,16 5 +11
Kushy RRQ,12 5 +7,7 6 +1,7 8 -1,6 9 -3,6 8 -2
xffero RRQ,7 9 -2,7 9 -2,10 11 -1,9 4 +5,6 8 -2
crazyguy RRQ,6 9 -3,5 13 -8,7 9 -2,8 6 +2,5 6 -1
