,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,0 1 -1,4 2 +2,5 5 +0,3 3 +0,1 3 -2
Monyet RRQ,0 3 -3,4 2 +2,2 6 -4,1 0 +1,4 2 +2
Kushy RRQ,5 3 +2,1 1 +0,3 4 -1,1 3 -2,1 4 -3
xffero RRQ,1 3 -2,1 1 +0,1 5 -4,1 2 -1,0 3 -3
crazyguy RRQ,2 3 -1,1 5 -4,1 4 -3,5 3 +2,2 1 +1
