,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,,1 0 +1,1 0 +1,2 2 +0,
Monyet RRQ,,,,,
Kushy RRQ,,,,0 1 -1,
xffero RRQ,,,,0 1 -1,
crazyguy RRQ,,,,0 1 -1,
