,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,,2 2 +0,0 4 -4,2 0 +2,0 1 -1
Monyet RRQ,,,0 1 -1,,
Kushy RRQ,,,,0 2 -2,
xffero RRQ,0 1 -1,,0 1 -1,0 1 -1,
crazyguy RRQ,,,,1 1 +0,
