,Ash GEN,Foxy9 GEN,Munchkin GEN,t3xture GEN,Karon GEN
Jemkin RRQ,,,0 2 -2,3 0 +3,0 1 -1
Monyet RRQ,,1 0 +1,2 0 +2,,
Kushy RRQ,,,,1 0 +1,
xffero RRQ,1 0 +1,,1 1 +0,,0 1 -1
crazyguy RRQ,0 1 -1,,1 0 +1,0 2 -2,1 0 +1
