,Cryocells 100T,Asuna 100T,Boostio 100T,zander 100T,eeiu 100T
nzr MIBR,2 5 -3,1 5 -4,3 1 +2,1 1 +0,1 3 -2
xenom MIBR,2 4 -2,2 3 -1,3 2 +1,3 5 -2,2 4 -2
artzin MIBR,3 3 +0,4 4 +0,2 3 -1,1 2 -1,3 6 -3
aspas MIBR,2 4 -2,4 3 +1,5 4 +1,8 2 +6,4 3 +1
cortezia MIBR,3 6 -3,3 3 +0,1 4 -3,4 1 +3,3 3 +0
