,Cryocells 100T,Asuna 100T,Boostio 100T,zander 100T,eeiu 100T
nzr MIBR,0 1 -1,0 3 -3,2 0 +2,,
xenom MIBR,1 1 +0,2 1 +1,,0 1 -1,0 1 -1
artzin MIBR,0 2 -2,0 5 -5,,1 1 +0,
aspas MIBR,1 0 +1,2 3 -1,,1 2 -1,
cortezia MIBR,0 2 -2,0 2 -2,,1 1 +0,0 2 -2
