,Cryocells 100T,Asuna 100T,Boostio 100T,zander 100T,eeiu 100T
nzr MIBR,5 9 -4,6 7 -1,4 6 -2,3 3 +0,3 3 +0
xenom MIBR,7 5 +2,5 9 -4,4 2 +2,5 8 -3,4 10 -6
artzin MIBR,3 8 -5,4 8 -4,3 4 -1,3 5 -2,4 8 -4
aspas MIBR,4 8 -4,6 9 -3,7 5 +2,9 3 +6,4 4 +0
cortezia MIBR,3 8 -5,3 8 -5,2 7 -5,5 2 +3,4 5 -1
