,Dantedeu5 KRÜ,Shyy KRÜ,keznit KRÜ,Melser KRÜ,Mazino KRÜ
RobbieBk LOUD,0 1 -1,,,,
lukxo LOUD,,0 1 -1,2 1 +1,1 0 +1,
Virtyy LOUD,1 3 -2,1 0 +1,,,1 1 +0
cauanzin LOUD,1 0 +1,0 2 -2,,1 0 +1,2 0 +2
pANcada LOUD,0 1 -1,,,,
