,v1c C9,OXY C9,Xeppaa C9,mitch C9,neT C9
Demon1 LEV,1 1 +0,,,1 0 +1,
tex LEV,1 0 +1,1 1 +0,,0 1 -1,
C0M LEV,,0 1 -1,,,
Rossy LEV,0 1 -1,0 1 -1,,,
kiNgg LEV,0 1 -1,1 1 +0,3 0 +3,1 2 -1,0 2 -2
