,v1c C9,OXY C9,Xeppaa C9,mitch C9,neT C9
Demon1 LEV,1 0 +1,,0 1 -1,1 0 +1,1 0 +1
tex LEV,,2 3 -1,0 1 -1,0 1 -1,
C0M LEV,,,,,
Rossy LEV,,0 3 -3,,,
kiNgg LEV,0 1 -1,,,,0 1 -1
