,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,1 0 +1,,3 0 +3,1 0 +1,2 0 +2
hiro FNC,,,,,
Chronicle FNC,,,,,
Derke FNC,,1 0 +1,,1 0 +1,
Alfajer FNC,0 1 -1,,,,
