,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,3 4 -1,1 2 -1,4 2 +2,5 3 +2,3 3 +0
hiro FNC,6 3 +3,4 4 +0,3 4 -1,3 4 -1,3 3 +0
Chronicle FNC,7 4 +3,4 4 +0,4 2 +2,5 4 +1,4 3 +1
Derke FNC,1 5 -4,6 2 +4,2 1 +1,1 5 -4,4 6 -2
Alfajer FNC,2 6 -4,2 1 +1,5 1 +4,3 5 -2,3 3 +0
