,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,2 1 +1,,1 2 -1,3 1 +2,
hiro FNC,1 2 -1,2 2 +0,3 0 +3,2 1 +1,1 0 +1
Chronicle FNC,1 1 +0,3 0 +3,,0 1 -1,1 0 +1
Derke FNC,3 2 +1,5 1 +4,2 2 +0,2 4 -2,0 3 -3
Alfajer FNC,0 1 -1,0 3 -3,0 3 -3,0 1 -1,1 0 +1
