,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,1 0 +1,,1 1 +0,,
hiro FNC,0 1 -1,0 1 -1,2 0 +2,1 0 +1,1 0 +1
Chronicle FNC,,2 0 +2,,,1 0 +1
Derke FNC,2 1 +1,1 0 +1,,1 1 +0,0 2 -2
Alfajer FNC,,0 1 -1,0 1 -1,,
