,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,2 4 -2,0 2 -2,2 4 -2,1 1 +0,2 3 -1
hiro FNC,5 3 +2,5 4 +1,3 1 +2,4 2 +2,1 2 -1
Chronicle FNC,3 3 +0,1 2 -1,4 1 +3,3 4 -1,2 3 -1
Derke FNC,4 2 +2,7 0 +7,7 2 +5,3 5 -2,9 2 +7
Alfajer FNC,0 2 -2,2 3 -1,1 3 -2,2 2 +0,2 1 +1
