,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,0 1 -1,,0 1 -1,,
hiro FNC,,1 0 +1,1 0 +1,1 0 +1,
Chronicle FNC,0 1 -1,,,0 1 -1,
Derke FNC,1 0 +1,2 0 +2,1 2 -1,1 0 +1,
Alfajer FNC,,0 2 -2,0 1 -1,,1 0 +1
