,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,8 11 -3,2 8 -6,11 9 +2,8 7 +1,9 6 +3
hiro FNC,13 7 +6,11 11 +0,10 8 +2,9 8 +1,7 10 -3
Chronicle FNC,13 11 +2,10 8 +2,10 4 +6,8 10 -2,8 7 +1
Derke FNC,11 10 +1,16 4 +12,12 4 +8,9 13 -4,17 10 +7
Alfajer FNC,6 11 -5,10 7 +3,9 9 +0,8 11 -3,7 6 +1
