,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,3 3 +0,1 4 -3,5 3 +2,2 3 -1,4 0 +4
hiro FNC,2 1 +1,2 3 -1,4 3 +1,2 2 +0,3 5 -2
Chronicle FNC,3 4 -1,5 2 +3,2 1 +1,0 2 -2,2 1 +1
Derke FNC,6 3 +3,3 2 +1,3 1 +2,5 3 +2,4 2 +2
Alfajer FNC,4 3 +1,6 3 +3,3 5 -2,3 4 -1,2 2 +0
