,keznit KRÜ,Melser KRÜ,mta KRÜ,Shyy KRÜ,heat KRÜ
Boaster FNC,1 0 +1,,,3 1 +2,
hiro FNC,1 1 +0,1 1 +0,,0 1 -1,
Chronicle FNC,1 0 +1,1 0 +1,,,
Derke FNC,0 1 -1,2 1 +1,1 0 +1,0 3 -3,0 1 -1
Alfajer FNC,0 1 -1,,0 1 -1,0 1 -1,
