,zekken SEN,TenZ SEN,Sacy SEN,johnqt SEN,Zellsis SEN
Munchkin GEN,0 2 -2,,0 1 -1,,1 0 +1
Lakia GEN,1 0 +1,0 1 -1,0 1 -1,,
Meteor GEN,0 1 -1,1 0 +1,1 0 +1,,
Karon GEN,,,,1 0 +1,1 0 +1
t3xture GEN,1 1 +0,,1 1 +0,0 1 -1,1 1 +0
