,zekken SEN,TenZ SEN,Sacy SEN,johnqt SEN,Zellsis SEN
Munchkin GEN,1 1 +0,,1 0 +1,,0 1 -1
Lakia GEN,1 0 +1,,,0 2 -2,
Meteor GEN,1 2 -1,,,,0 1 -1
Karon GEN,0 1 -1,,,0 1 -1,0 1 -1
t3xture GEN,0 1 -1,1 1 +0,3 0 +3,,1 1 +0
