,zekken SEN,TenZ SEN,Sacy SEN,johnqt SEN,Zellsis SEN
Munchkin GEN,1 3 -2,,1 1 +0,,1 1 +0
Lakia GEN,2 0 +2,0 1 -1,0 1 -1,0 2 -2,
Meteor GEN,1 3 -2,1 0 +1,1 0 +1,,0 1 -1
Karon GEN,0 1 -1,,,1 1 +0,1 1 +0
t3xture GEN,1 2 -1,1 1 +0,4 1 +3,0 1 -1,2 2 +0
