,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
free1ng DRX,0 2 -2,,,,
MaKo DRX,0 2 -2,,,,
Flashback DRX,,,,,
HYUNMIN DRX,0 2 -2,,1 0 +1,,1 0 +1
Estrella DRX,0 3 -3,,,,
