,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
free1ng DRX,1 4 -3,1 5 -4,1 4 -3,2 1 +1,1 2 -1
MaKo DRX,8 0 +8,3 3 +0,4 5 -1,3 4 -1,2 2 +0
Flashback DRX,1 2 -1,1 3 -2,7 3 +4,4 3 +1,6 3 +3
HYUNMIN DRX,2 4 -2,1 3 -2,2 3 -1,3 3 +0,3 4 -1
Estrella DRX,3 7 -4,4 2 +2,1 2 -1,1 2 -1,2 3 -1
