,Ethan NRG,mada NRG,brawk NRG,skuba NRG,s0m NRG
Cryocells 100T,6 0 +6,3 3 +0,1 5 -4,1 2 -1,2 1 +1
zander 100T,2 3 -1,3 1 +2,4 1 +3,3 1 +2,4 1 +3
Kess 100T,3 0 +3,1 0 +1,4 3 +1,4 3 +1,3 1 +2
Asuna 100T,3 2 +1,5 2 +3,1 3 -2,3 1 +2,2 1 +1
eeiu 100T,3 1 +2,4 3 +1,6 1 +5,2 1 +1,4 0 +4
