,Ethan NRG,mada NRG,brawk NRG,skuba NRG,s0m NRG
Cryocells 100T,2 1 +1,2 0 +2,0 1 -1,,1 0 +1
zander 100T,2 0 +2,0 1 -1,,,2 0 +2
Kess 100T,0 1 -1,3 0 +3,,,2 0 +2
Asuna 100T,0 1 -1,3 5 -2,1 2 -1,,0 1 -1
eeiu 100T,,2 3 -1,1 0 +1,,2 1 +1
