,Ethan NRG,mada NRG,brawk NRG,skuba NRG,s0m NRG
Cryocells 100T,6 5 +1,4 1 +3,3 2 +1,3 3 +0,2 3 -1
zander 100T,3 3 +0,3 2 +1,3 2 +1,4 4 +0,3 3 +0
Kess 100T,2 5 -3,3 2 +1,6 1 +5,3 4 -1,4 3 +1
Asuna 100T,3 2 +1,3 3 +0,5 6 -1,0 2 -2,2 3 -1
eeiu 100T,3 3 +0,4 3 +1,1 3 -2,3 3 +0,5 3 +2
