,Ethan NRG,mada NRG,brawk NRG,skuba NRG,s0m NRG
Cryocells 100T,0 1 -1,1 0 +1,0 1 -1,,
zander 100T,2 0 +2,0 1 -1,,,1 0 +1
Kess 100T,0 1 -1,2 0 +2,,,1 0 +1
Asuna 100T,,1 3 -2,1 2 -1,,0 1 -1
eeiu 100T,,1 1 +0,,,1 1 +0
