,Ethan NRG,mada NRG,brawk NRG,skuba NRG,s0m NRG
Cryocells 100T,12 5 +7,7 4 +3,4 7 -3,4 5 -1,4 4 +0
zander 100T,5 6 -1,6 3 +3,7 3 +4,7 5 +2,7 4 +3
Kess 100T,5 5 +0,4 2 +2,10 4 +6,7 7 +0,7 4 +3
Asuna 100T,6 4 +2,8 5 +3,6 9 -3,3 3 +0,4 4 +0
eeiu 100T,6 4 +2,8 6 +2,7 4 +3,5 4 +1,9 3 +6
