,Sayf VIT,trexx VIT,Derke VIT,Less VIT,Kicks VIT
iZu T1,0 1 -1,,1 2 -1,,
BuZz T1,1 0 +1,,3 0 +3,1 1 +0,
stax T1,,,,,2 0 +2
Sylvan T1,,,0 1 -1,,
Meteor T1,0 1 -1,,1 0 +1,1 0 +1,1 0 +1
