,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,2 2 +0,2 5 -3,1 1 +0,5 0 +5,2 1 +1
Chronicle FNC,3 1 +2,3 3 +0,4 1 +3,0 2 -2,6 1 +5
Alfajer FNC,2 1 +1,3 4 -1,4 2 +2,1 3 -2,2 2 +0
crashies FNC,5 0 +5,3 1 +2,3 3 +0,6 1 +5,3 0 +3
kaajak FNC,2 0 +2,5 3 +2,2 5 -3,4 0 +4,2 3 -1
