,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,,,,
Chronicle FNC,,0 1 -1,,,
Alfajer FNC,,0 2 -2,,,
crashies FNC,,0 1 -1,,,
kaajak FNC,,2 1 +1,2 0 +2,,4 0 +4
