,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,0 3 -3,,3 0 +3,2 1 +1
Chronicle FNC,2 1 +1,2 2 +0,,1 0 +1,
Alfajer FNC,2 0 +2,1 3 -2,,1 0 +1,1 1 +0
crashies FNC,1 0 +1,0 1 -1,,2 0 +2,1 0 +1
kaajak FNC,,2 4 -2,1 0 +1,1 1 +0,1 1 +0
