,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,,,1 0 +1,
Chronicle FNC,,,,,
Alfajer FNC,,0 1 -1,,,
crashies FNC,,,,,
kaajak FNC,,0 1 -1,,,
