,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,,,1 0 +1,2 1 +1
Chronicle FNC,1 1 +0,0 1 -1,,1 0 +1,
Alfajer FNC,1 0 +1,0 1 -1,,1 0 +1,
crashies FNC,,0 1 -1,,1 0 +1,1 0 +1
kaajak FNC,,2 3 -1,1 0 +1,1 1 +0,1 1 +0
