,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,4 6 -2,5 6 -1,3 3 +0,7 3 +4,4 4 +0
Chronicle FNC,8 6 +2,4 8 -4,6 3 +3,2 4 -2,9 3 +6
Alfajer FNC,7 2 +5,7 10 -3,7 5 +2,2 7 -5,3 3 +0
crashies FNC,13 2 +11,6 8 -2,4 6 -2,15 4 +11,8 2 +6
kaajak FNC,2 1 +1,8 6 +2,6 11 -5,6 5 +1,6 7 -1
