,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,0 3 -3,,2 0 +2,
Chronicle FNC,1 0 +1,2 1 +1,,,
Alfajer FNC,1 0 +1,1 2 -1,,,1 1 +0
crashies FNC,1 0 +1,,,1 0 +1,
kaajak FNC,,0 1 -1,,,
