,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,,,,1 0 +1,
Chronicle FNC,,0 1 -1,,,
Alfajer FNC,,0 3 -3,,,
crashies FNC,,0 1 -1,,,
kaajak FNC,,2 2 +0,2 0 +2,,4 0 +4
