,ANGE1 NAVI,koalanoob NAVI,Shao NAVI,hiro NAVI,Ruxic NAVI
Boaster FNC,2 4 -2,3 1 +2,2 2 +0,2 3 -1,2 3 -1
Chronicle FNC,5 5 +0,1 5 -4,2 2 +0,2 2 +0,3 2 +1
Alfajer FNC,5 1 +4,4 6 -2,3 3 +0,1 4 -3,1 1 +0
crashies FNC,8 2 +6,3 7 -4,1 3 -2,9 3 +6,5 2 +3
kaajak FNC,0 1 -1,3 3 +0,4 6 -2,2 5 -3,4 4 +0
