,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,3 3 +0,1 0 +1,0 6 -6,0 3 -3,2 5 -3
Jemkin RRQ,3 3 +0,2 2 +0,2 2 +0,3 5 -2,4 4 +0
Kushy RRQ,2 4 -2,4 3 +1,3 2 +1,1 3 -2,1 3 -2
Monyet RRQ,4 2 +2,2 3 -1,2 3 -1,0 5 -5,4 3 +1
crazyguy RRQ,1 7 -6,1 3 -2,2 4 -2,3 1 +2,2 1 +1
