,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,,,2 0 +2,0 1 -1,
Jemkin RRQ,0 1 -1,1 0 +1,1 0 +1,1 0 +1,1 0 +1
Kushy RRQ,,1 0 +1,0 1 -1,,
Monyet RRQ,0 1 -1,,0 3 -3,,0 2 -2
crazyguy RRQ,,,1 1 +0,,
