,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crazyguy RRQ,,4 Round 1 ban Papi Round 15 Papi yoman Round 17 UdoTan Papi Round 19 Kr1stal UdoTan,,,,,,,,,39,2,0
Kushy RRQ,,2 Round 2 Kr1stal yoman Round 17 ban yoman,,,,,,,,,48,0,2
xffero RRQ,,1 Round 11 ban Kr1stal,,,,,,,,,22,2,0
Monyet RRQ,,2 Round 16 Kr1stal yoman Round 18 ban Kr1stal,1 Round 8 ban UdoTan yoman,,,1 Round 15 Kr1stal,,,,,45,0,1
Jemkin RRQ,,4 Round 1 UdoTan Kr1stal Round 7 Papi Kr1stal Round 18 Papi UdoTan Round 19 ban yoman,,,,,,,,,46,2,0
UdoTan GE,,,3 Round 3 Kushy xffero Monyet Round 12 Monyet Jemkin xffero Round 14 Monyet Jemkin crazyguy,,,,,,,,76,0,0
ban GE,,3 Round 5 Jemkin Kushy Round 11 Jemkin crazyguy Round 12 Kushy crazyguy,1 Round 6 xffero Kushy crazyguy,,,,,,,,68,0,0
Kr1stal GE,,4 Round 11 Monyet Kushy Round 13 xffero Jemkin Round 15 xffero crazyguy Round 20 Kushy Monyet,1 Round 9 xffero Kushy Jemkin,,,,,,,,56,1,0
Papi GE,,1 Round 16 Monyet Jemkin,1 Round 4 Kushy Monyet Jemkin,1 Round 8 Monyet Jemkin xffero Kushy,,,,,1 Round 8 Jemkin xffero Kushy Monyet,,73,2,2
yoman GE,,2 Round 10 Kushy Monyet Round 13 crazyguy Kushy,,,,,,,,,38,4,1
