,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,5 4 +1,4 2 +2,4 11 -7,3 6 -3,3 11 -8
Jemkin RRQ,5 6 -1,5 4 +1,5 7 -2,6 7 -1,7 6 +1
Kushy RRQ,3 5 -2,8 6 +2,5 7 -2,5 4 +1,4 6 -2
Monyet RRQ,6 4 +2,4 4 +0,3 10 -7,1 6 -5,8 7 +1
crazyguy RRQ,4 8 -4,2 4 -2,4 11 -7,4 6 -2,5 2 +3
