,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,2 1 +1,3 2 +1,4 5 -1,3 3 +0,1 6 -5
Jemkin RRQ,2 3 -1,3 2 +1,3 5 -2,3 2 +1,3 2 +1
Kushy RRQ,1 1 +0,4 3 +1,2 5 -3,4 1 +3,3 3 +0
Monyet RRQ,2 2 +0,2 1 +1,1 7 -6,1 1 +0,4 4 +0
crazyguy RRQ,3 1 +2,1 1 +0,2 7 -5,1 5 -4,3 1 +2
