,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,0 1 -1,,,,
Jemkin RRQ,0 3 -3,,,2 0 +2,
Kushy RRQ,,0 1 -1,0 2 -2,0 1 -1,1 0 +1
Monyet RRQ,1 1 +0,,0 1 -1,,1 0 +1
crazyguy RRQ,0 2 -2,,0 1 -1,,2 0 +2
