,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
xffero RRQ,0 1 -1,,,,
Jemkin RRQ,1 0 +1,,,,
Kushy RRQ,,,,,
Monyet RRQ,0 1 -1,,,,
crazyguy RRQ,0 1 -1,,,,
